PositionLon,PositionLat,RoadID,RoadName,BIGVOLUME,BIGSPEED,CARVOLUME,CARSPEED,MOTORVOLUME,MOTORSPEED,AVGSPEED,FREESPD,InfoTime,InfoData
121.48836,25.03172,200100,環河快速道路,0.0,0.0,12.0,9.0,0.0,0.0,9.0,34.0,2020-01-14 19:49:00,2020-01-14
121.53467,25.02488,600428A,新生南路三段,2.0,39.0,3.0,44.0,0.0,0.0,42.0,6.0,2020-01-14 13:55:00,2020-01-14
121.59718,25.05194,600272A,市民大道八段,0.0,0.0,2.0,42.0,0.0,0.0,42.0,1.0,2020-01-14 15:27:00,2020-01-14
121.53797,25.0236,200040,建國南北快速道路,2.0,49.0,18.0,59.0,0.0,0.0,58.0,13.0,2020-01-14 06:48:00,2020-01-14
121.51807,25.05568,600372A,承德路二段,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-14 00:37:00,2020-01-14
121.57648,25.02205,200030,信義快速道路,0.0,0.0,1.0,60.0,0.0,0.0,60.0,0.0,2020-01-14 13:09:00,2020-01-14
121.54378,25.05976,600320A,復興北路,0.0,0.0,3.0,45.0,0.0,0.0,45.0,0.0,2020-01-14 04:08:00,2020-01-14
121.52483,25.02712,600149A,和平東路一段,8.0,43.0,6.0,44.0,4.0,69.0,49.0,9.0,2020-01-14 09:19:00,2020-01-14
121.54833,25.02083,200060,基隆路高架道路,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-14 05:24:00,2020-01-14
121.56525,25.05432,600082A,健康路,0.0,0.0,9.0,33.0,0.0,0.0,33.0,9.0,2020-01-14 17:24:00,2020-01-14
121.52615,25.04726,200020,市民大道高架道路,0.0,0.0,19.0,69.0,1.0,77.0,69.0,15.0,2020-01-14 18:48:00,2020-01-14
121.53883,25.00655,600672A,羅斯福路五段,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-14 00:23:00,2020-01-14
121.57172,25.03224,200030,信義快速道路,0.0,0.0,3.0,47.0,0.0,0.0,47.0,4.0,2020-01-14 19:44:00,2020-01-14
121.57648,25.02205,200030,信義快速道路,1.0,52.0,8.0,52.0,0.0,0.0,52.0,2.0,2020-01-14 16:11:00,2020-01-14
121.52544,25.05316,600498A,林森北路,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-14 10:51:00,2020-01-14
121.53374,25.02222,200040,建國南北快速道路,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-14 02:42:00,2020-01-14
121.55744,25.02906,600171A,基隆路二段,4.0,54.0,10.0,22.0,0.0,0.0,31.0,52.0,2020-01-14 15:52:00,2020-01-14
121.49953,25.0922,600296A,延平北路六段,0.0,0.0,6.0,42.0,0.0,0.0,42.0,5.0,2020-01-14 19:41:00,2020-01-14
121.57036,25.11472,600698A,至善路三段,0.0,0.0,2.0,61.0,0.0,0.0,61.0,1.0,2020-01-14 12:43:00,2020-01-14
121.61119,25.05264,600340A,忠孝東路七段,0.0,0.0,8.0,54.0,0.0,0.0,54.0,4.0,2020-01-14 16:34:00,2020-01-14
121.49734,25.02927,600782A,西藏路,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-14 06:50:00,2020-01-14
121.55841,25.08491,600091A,內湖路一段,0.0,0.0,14.0,47.0,0.0,0.0,47.0,6.0,2020-01-14 07:22:00,2020-01-14
121.57309,25.0725,200070,堤頂大道,0.0,0.0,15.0,44.0,0.0,0.0,44.0,14.0,2020-01-14 10:03:00,2020-01-14
121.54097,25.06366,600886A,龍江路,1.0,40.0,7.0,41.0,0.0,0.0,40.0,8.0,2020-01-14 20:33:00,2020-01-14
121.53647,25.04924,200040,建國南北快速道路,1.0,64.0,30.0,55.0,0.0,0.0,55.0,21.0,2020-01-14 16:07:00,2020-01-14
121.55778,25.04898,600083A,光復北路,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-14 13:12:00,2020-01-14
121.57491,25.04109,600337A,忠孝東路五段,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-14 05:26:00,2020-01-14
121.57427,25.05334,200090,環東大道,2.0,66.0,23.0,66.0,0.0,0.0,66.0,18.0,2020-01-14 10:29:00,2020-01-14
121.51743,25.05234,600371A,承德路一段,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-14 05:04:00,2020-01-14
121.53891,25.01275,600173A,基隆路四段,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-14 10:35:00,2020-01-14
121.53128,25.05472,600848A,長春路,1.0,44.0,3.0,7.0,0.0,0.0,7.0,67.0,2020-01-14 17:33:00,2020-01-14
121.529,25.09606,600043A,中正路,0.0,0.0,5.0,46.0,0.0,0.0,46.0,6.0,2020-01-14 00:24:00,2020-01-14
